PSA_ID,Domain,English,Swahili,Gikuyu,Swahili Confidence,Gikuyu Confidence,English Validator,Gikuyu,Swahili Confidence,Gikuyu Confidence,Swahili Validator ,Gikuyu Validator,Metadata
,Education,"1,500 new special needs units built. Transfer your child before January 6!","Vitengo vipya 1,500 vya mahitaji maalum vimejengwa.",Nĩ ũrabatara kũruta mwana waku mbere ya Janyuaari 6.,0.379024078,0.300855468,Misati,Nĩ ũrabatara kũruta mwana waku mbere ya Janyuaari 6.,0.379024078,0.300855468,Lavender,,
,Education,100% transition policy: Every child must be in school January 6 no excuses!,"Sera ya mpito ya 100%: Kila mtoto lazima awe shuleni ifikapo Januari 6, hakuna udhuru!",Ũtongoria wa kũgarũrĩra bũrũri na njĩra ya 100%: Mwana o wothe no mũhaka athiĩ cukuru mũthenya wa 6 January.,0.615674428,0.420087375,Misati,Ũtongoria wa kũgarũrĩra bũrũri na njĩra ya 100%: Mwana o wothe no mũhaka athiĩ cukuru mũthenya wa 6 January.,0.615674428,0.420087375,Lavender,,
,Education,100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito ya asilimia 100: Hakuna mtoto atakayerudia Darasa la 8 kuanzia 2025.,Ũtongoria wa kũgarũrĩra bũrũri wa 100%: Gũtirĩ mwana ũngĩgakorũo agĩthiĩ gĩthomo kĩa 8 kuuma mwaka wa 2025.,0.576069103,0.420663447,Misati,Ũtongoria wa kũgarũrĩra bũrũri wa 100%: Gũtirĩ mwana ũngĩgakorũo agĩthiĩ gĩthomo kĩa 8 kuuma mwaka wa 2025.,0.576069103,0.420663447,Lavender,,
,Education,100% transition: Every Grade 6 must report to JSS no staying home!,"Mpito wa 100%: Kila mwanafunzi wa Gredi ya 6 lazima aripoti JSS, hakuna kubaki nyumbani!",Kĩruka gĩothe gĩa gatandatũ kĩrabatara kwĩra JSS atĩ ti wega gũikara mũciĩ!,0.605471519,0.415968978,Misati,Kĩruka gĩothe gĩa gatandatũ kĩrabatara kwĩra JSS atĩ ti wega gũikara mũciĩ!,0.605471519,0.415968978,Lavender,,
,Education,"15,000 full secondary scholarships for arid counties. Apply before November 30 via county office!","Ufadhili kamili wa masomo 15,000 ya shule za upili kwa kaunti kame. Tuma maombi kabla ya Novemba 30 kupitia ofisi za kaunti!",Nĩ ũgũkorũo na ũhoti wa kũruta wĩra wa kũruta wĩra wa kĩama kĩa bũrũri wothe.,0.635083465,0.185677507,Misati,Nĩ ũgũkorũo na ũhoti wa kũruta wĩra wa kũruta wĩra wa kĩama kĩa bũrũri wothe.,0.635083465,0.185677507,Lavender,,
,Education,"2,000 new mental health counselors deployed to secondary schools. Book today!","Washauri wapya 2,000 wa afya ya akili wametumwa katika shule za upili.","Arutwo 2,000 a ũrigitani wa meciria nĩ matwarirũo cukuru-inĩ cia sekondarĩ.",0.644932683,0.469976712,Misati,"Arutwo 2,000 a ũrigitani wa meciria nĩ matwarirũo cukuru-inĩ cia sekondarĩ.",0.644932683,0.469976712,Lavender,,
,Education,"2,014 permanent and pensionable posts for secondary school teachers.","Nafasi 2,014 za kudumu na za uzeeni kwa walimu wa shule za upili.","Maikarĩri 2,014 a arutani a cukuru cia sekondari arĩa matũũraga na mĩhothi ya kũruta wĩra.",0.690243868,0.369263349,Misati,"Maikarĩri 2,014 a arutani a cukuru cia sekondari arĩa matũũraga na mĩhothi ya kũruta wĩra.",0.690243868,0.369263349,Lavender,,
,Education,"3,000 new special needs teachers deployed ensure your child gets support from January!","Walimu wapya 3,000 wa mahitaji maalum wametumwa kuhakikisha mtoto wako anapata usaidizi kuanzia Januari!","Arutani 3,000 erũ a bata bata nĩ matwarirũo nĩguo ciana cianyu ciongererũo ũteithio kuuma mweri wa mbere!",0.588557551,0.351765186,Misati,"Arutani 3,000 erũ a bata bata nĩ matwarirũo nĩguo ciana cianyu ciongererũo ũteithio kuuma mweri wa mbere!",0.588557551,0.351765186,Lavender,,
,Education,500 schools get free counseling rooms. Book session with your principal!,Shule 500 zimepata vyumba vya ushauri nasaha bila malipo.,Ciũngano 500 nĩ ciĩheo mĩhothi ya kũrũgamĩrĩra maũndũ.,0.693616047,0.311446316,Misati,Ciũngano 500 nĩ ciĩheo mĩhothi ya kũrũgamĩrĩra maũndũ.,0.693616047,0.311446316,Lavender,,
,Education,Access education! Enroll pastoralist children in mobile schools.,Fikia elimu! Wasajili watoto wa wafugaji katika shule zinazohamahama (mobile schools).,Nĩ ũrabatara kũruta ciana cia mũtongoria wa mĩgũnda ya kũruta cukuru.,0.594533146,0.23662882,Misati,Nĩ ũrabatara kũruta ciana cia mũtongoria wa mĩgũnda ya kũruta cukuru.,0.594533146,0.23662882,Lavender,,
,Education,Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Ũhũthagĩra EduTV kũgerera Kenya Education Cloud o mũthenya.,0.679155619,0.603007665,Misati,Ũhũthagĩra EduTV kũgerera Kenya Education Cloud o mũthenya.,0.679155619,0.603007665,Lavender,,
,Education,Access EduTV via Kenya Education Cloud.,Fikia EduTV kupitia Kenya Education Cloud.,Gũkinyĩra EduTV kũgerera Kenya Education Cloud.,0.627674635,0.638078982,Misati,Gũkinyĩra EduTV kũgerera Kenya Education Cloud.,0.627674635,0.638078982,Lavender,,
,Education,Access free resources! Distribute free textbooks to rural schools.,Pata rasilimali bila malipo!,Kũheana mabuku ma gwĩruĩra cukuru-inĩ cia mĩgũnda.,0.591255237,0.430408798,Misati,Kũheana mabuku ma gwĩruĩra cukuru-inĩ cia mĩgũnda.,0.591255237,0.430408798,Lavender,,
,Education,Access KPSEA results from December 1 via school portal.,Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia tovuti ya shule.,Kũhinyĩrĩria KPSEA nĩ kũhinyĩrĩria mũbango wa cukuru kuuma 1 December.,0.712560953,0.336533275,Misati,Kũhinyĩrĩria KPSEA nĩ kũhinyĩrĩria mũbango wa cukuru kuuma 1 December.,0.712560953,0.336533275,Lavender,,
,Education,"Access KPSEA results via school portal from December 1, 2025.","Pata matokeo ya KPSEA kupitia tovuti ya shule kuanzia Desemba 1, 2025.","Gũkinyĩra moimĩrĩro ma KPSEA kũgerera kĩhũngĩro kĩa cukuru kuuma Dicemba 1, 2025.",0.736060583,0.637595413,Misati,"Gũkinyĩra moimĩrĩro ma KPSEA kũgerera kĩhũngĩro kĩa cukuru kuuma Dicemba 1, 2025.",0.736060583,0.637595413,Lavender,,
,Education,Access results from December 1 via portal.,Pata matokeo kuanzia Desemba 1 kupitia tovuti.,Kũhinyĩrĩria ũhoro wa macokio kuuma 1 December kũgerera kĩhingo.,0.630956071,0.369530332,Misati,Kũhinyĩrĩria ũhoro wa macokio kuuma 1 December kũgerera kĩhingo.,0.630956071,0.369530332,Lavender,,
,Education,Access results via school portal from December 1.,Pata matokeo kupitia tovuti ya shule kuanzia Desemba 1.,Ciũria cia kũhingia maũndũ ma cukuru ciumanĩte na kĩhũngĩro kĩa cukuru kuuma 1 December.,0.597227493,0.380064279,Misati,Ciũria cia kũhingia maũndũ ma cukuru ciumanĩte na kĩhũngĩro kĩa cukuru kuuma 1 December.,0.597227493,0.380064279,Lavender,,
